contig_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
WMC290030,0.21724007,0.8721916,0.41670623,0.02604607,-0.1667836,-0.759067,0.15992472,-0.75059795,0.32751566,-0.11662723,0.00027988246,0.028424492,-0.019112075,0.14635473,0.33532682,0.02020865,-0.22523522,-0.22706194,0.5270231,-0.6491169,0.09978802,0.24679692,0.5815045,0.16323233,0.2701238,-0.013822338,-0.12405595,0.13562804,0.12142632,0.097601496
WMC0035049,0.5328351,0.986563,-0.13157083,-0.5939427,-0.5109889,1.0813396,0.17395258,-0.025170457,0.98910743,-0.89927346,0.012144977,-0.24107741,0.05952305,-0.39992362,0.04316886,0.06592347,0.43703145,-0.6388562,0.5924941,0.99691063,0.16607061,0.8787429,0.048317693,0.42338693,0.47117424,0.24707614,-0.27488744,-0.08870937,-0.24330704,0.45583004
W840042,-0.004717476,0.67107594,0.16229668,0.23069526,-0.12055835,0.18858232,0.20855935,0.368147,0.7929322,-0.44977432,-0.7001752,-0.25502434,0.2553334,0.14413027,0.7388065,0.13018808,0.2617579,-0.44879663,1.1522214,-0.5592036,-0.40338057,0.7094893,-0.7131166,0.4233672,0.41757065,0.013771617,-0.29528102,-0.5247413,0.06278891,0.29616615
W686813,-0.54488766,1.3857979,0.014181283,-0.3572728,-0.8022922,0.28763148,-0.19451474,0.30430856,0.84846056,0.1818393,-0.7040062,0.4614599,0.29343155,-0.7241062,0.5156192,0.3304448,0.0036372235,-0.31786588,1.6026765,-0.31567898,-0.053788114,0.90342337,0.063379556,-0.34010184,0.57357407,0.011279383,-0.7820701,-0.1891901,0.1918162,0.4335392
WMC626388,-0.818521,0.29012623,0.4065286,-0.34541255,-0.7276609,0.31595355,0.5476862,0.7622263,0.23457305,0.17404164,0.4030054,0.43392196,-0.58141965,-0.33877197,0.5463012,0.06765432,-0.42958644,-0.7594514,1.7434102,-0.40924007,-0.39249492,1.6525669,0.15421501,0.07936935,0.4726716,-0.37260738,0.28630176,0.2791686,-0.64726084,0.48966146
W689059,1.0099504,0.016267816,0.12813546,-0.58613336,-0.2640262,0.038532455,0.4086121,-0.9420112,-0.44157287,0.4387528,-0.55411077,-0.075313315,0.403238,0.3832456,-0.44438085,0.11600167,0.53314275,-0.9737805,0.23493946,0.16327922,0.32454225,0.1536098,0.20295142,0.48058343,0.27087754,0.12478553,0.43926242,-0.3489654,0.1582273,0.0020765944
W689565,-0.8329908,0.24192636,0.8210702,0.0011411674,-0.35234886,-0.77728087,-0.6663346,-0.81724715,0.5087512,-0.75899243,1.086845,-0.13973278,-0.22666393,-0.842797,0.23083158,-0.028928678,-0.69023323,-0.3891966,0.41067463,-0.92511743,-0.022185698,0.5424312,-0.14222471,-0.3691475,-0.025370711,0.28459743,-0.6918994,0.03671905,0.40501198,0.08270067
W703125,-0.8323197,0.26049438,0.32037258,0.18538618,-0.8888227,-0.64754707,0.4995556,-0.45914754,0.0046187164,-0.15697005,0.16009466,-0.063537546,-0.16481218,-0.2921025,-0.022910222,0.41565946,0.04745159,-0.45495886,-0.66669595,-0.8599243,0.0060163243,0.24887328,0.26272047,0.33854458,0.4470065,-0.006342469,-0.8273787,0.29140386,0.1311551,0.4968916
W843521,0.68897676,-0.42516124,-0.119232744,-0.26622763,0.4395354,0.02454343,0.52949095,0.17534983,0.06236935,0.3019132,-0.23557977,0.06885631,-0.36545414,0.2998885,0.34505406,0.06542902,-0.12701441,-0.21691504,0.90408504,-1.004749,0.29082042,-0.5189779,0.1349451,-0.27066353,0.32191035,-0.083257616,0.40613213,0.5318675,0.14150275,0.29864693
W692322,-0.69057715,0.7870083,-0.42654556,0.02600906,0.100976504,0.008952043,0.22775663,-0.12025069,0.2058099,-0.4722135,-0.09469533,0.014072548,-0.7312741,0.30245966,0.4305495,0.52408904,-0.23162706,-0.4116161,-0.6938417,-0.96603054,0.10299794,0.17150182,0.3046556,-0.39101252,0.16757809,0.15774433,0.444199,-0.116799295,0.245041,0.16282517
W692251,-0.37981784,-0.30130598,0.10304087,-0.3259615,-0.20382069,-0.6799364,0.3873873,-0.637506,-0.17369781,-0.7454326,0.29698995,0.22862422,0.04726452,0.40490717,-0.23892762,0.2839891,0.32011095,-0.4690577,-0.14495681,-0.3418591,-0.021871429,0.3783801,0.27432516,0.3806904,0.20505607,-0.53947735,0.27675098,-0.45570529,0.54280144,-0.14488493
WMC693667,0.5279594,-0.28902417,-0.38445953,0.009806419,-0.20636983,-0.75406307,0.3676584,-0.1449895,0.131372,-0.7564901,0.4727072,0.0952138,0.17765929,-0.33767354,-0.00892525,0.18501943,0.15892652,0.027199307,-0.5037221,-0.22597861,0.29655546,0.16121376,0.27306786,0.48041615,0.47354427,-0.31344756,0.39095443,-0.09648641,-0.59713894,0.05977241
WMC696573,0.5279594,-0.28902417,-0.38445953,0.009806419,-0.20636983,-0.75406307,0.3676584,-0.1449895,0.131372,-0.7564901,0.4727072,0.0952138,0.17765929,-0.33767354,-0.00892525,0.18501943,0.15892652,0.027199307,-0.5037221,-0.22597861,0.29655546,0.16121376,0.27306786,0.48041615,0.47354427,-0.31344756,0.39095443,-0.09648641,-0.59713894,0.05977241
WMC0035629,-0.7598926,-0.5084681,0.55890787,0.22031716,-0.33695677,-0.70880336,-0.20634855,-0.62743986,0.07135353,0.2254354,0.5620145,-0.35481134,-0.4445456,0.17323095,0.49875754,0.46992847,-0.51075494,-0.37726492,0.1128022,-0.2065986,0.058493342,-0.07316982,0.07896751,0.4264223,0.08089187,-0.26287475,0.06284502,-0.21231273,0.10367003,0.062111713
WMC0035921,-0.7598926,-0.5084681,0.55890787,0.22031716,-0.33695677,-0.70880336,-0.20634855,-0.62743986,0.07135353,0.2254354,0.5620145,-0.35481134,-0.4445456,0.17323095,0.49875754,0.46992847,-0.51075494,-0.37726492,0.1128022,-0.2065986,0.058493342,-0.07316982,0.07896751,0.4264223,0.08089187,-0.26287475,0.06284502,-0.21231273,0.10367003,0.062111713
WMC0036082,-0.7598926,-0.5084681,0.55890787,0.22031716,-0.33695677,-0.70880336,-0.20634855,-0.62743986,0.07135353,0.2254354,0.5620145,-0.35481134,-0.4445456,0.17323095,0.49875754,0.46992847,-0.51075494,-0.37726492,0.1128022,-0.2065986,0.058493342,-0.07316982,0.07896751,0.4264223,0.08089187,-0.26287475,0.06284502,-0.21231273,0.10367003,0.062111713
WMC0037767,-0.7598926,-0.5084681,0.55890787,0.22031716,-0.33695677,-0.70880336,-0.20634855,-0.62743986,0.07135353,0.2254354,0.5620145,-0.35481134,-0.4445456,0.17323095,0.49875754,0.46992847,-0.51075494,-0.37726492,0.1128022,-0.2065986,0.058493342,-0.07316982,0.07896751,0.4264223,0.08089187,-0.26287475,0.06284502,-0.21231273,0.10367003,0.062111713
WMC0035532,0.54747444,-0.4102295,-0.10292802,-0.26703945,0.39634922,-0.6262568,0.3638641,0.5466824,-0.5322256,0.5011125,-0.48937932,0.14720641,-0.53911495,0.49433613,0.27598903,-0.50165665,-0.41999695,-0.834696,0.07067106,0.063678004,0.17972629,-0.34929204,0.33215922,-0.13398029,0.4735176,0.18254995,0.18750079,0.44292834,-0.2994296,-0.14919205
WMC0035812,0.54747444,-0.4102295,-0.10292802,-0.26703945,0.39634922,-0.6262568,0.3638641,0.5466824,-0.5322256,0.5011125,-0.48937932,0.14720641,-0.53911495,0.49433613,0.27598903,-0.50165665,-0.41999695,-0.834696,0.07067106,0.063678004,0.17972629,-0.34929204,0.33215922,-0.13398029,0.4735176,0.18254995,0.18750079,0.44292834,-0.2994296,-0.14919205
WMC0036150,0.54747444,-0.4102295,-0.10292802,-0.26703945,0.39634922,-0.6262568,0.3638641,0.5466824,-0.5322256,0.5011125,-0.48937932,0.14720641,-0.53911495,0.49433613,0.27598903,-0.50165665,-0.41999695,-0.834696,0.07067106,0.063678004,0.17972629,-0.34929204,0.33215922,-0.13398029,0.4735176,0.18254995,0.18750079,0.44292834,-0.2994296,-0.14919205
